trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
1,SHORT,2025-12-01 00:06:00,89510.0,2025-12-01 00:41:00,88083.87,0.1,142.61300000000048,0.0,142.61300000000048,10142.613000000001,
2,LONG,2025-12-01 00:41:00,88083.87,2025-12-01 00:45:00,87698.01,0.1,-38.58600000000006,0.0,-38.58600000000006,10104.027000000002,
3,SHORT,2025-12-01 00:45:00,87698.01,2025-12-01 01:02:00,87300.0,0.1,39.800999999999476,0.0,39.800999999999476,10143.828000000001,
4,LONG,2025-12-01 01:02:00,87300.0,2025-12-01 01:10:00,87275.57,0.1,-2.4429999999993015,0.0,-2.4429999999993015,10141.385000000002,
5,SHORT,2025-12-01 01:10:00,87275.57,2025-12-01 01:15:00,87562.48,0.1,-28.690999999998894,0.0,-28.690999999998894,10112.694000000003,
6,LONG,2025-12-01 01:15:00,87562.48,2025-12-01 01:20:00,87400.0,0.1,-16.247999999999593,0.0,-16.247999999999593,10096.446000000004,
7,SHORT,2025-12-01 01:20:00,87400.0,2025-12-01 01:33:00,87399.93,0.1,0.007000000000698493,0.0,0.007000000000698493,10096.453000000005,
8,LONG,2025-12-01 01:33:00,87399.93,2025-12-01 01:40:00,87343.02,0.1,-5.690999999998894,0.0,-5.690999999998894,10090.762000000006,
9,SHORT,2025-12-01 01:40:00,87343.02,2025-12-01 01:58:00,87340.12,0.1,0.2900000000008731,0.0,0.2900000000008731,10091.052000000007,
10,LONG,2025-12-01 01:58:00,87340.12,2025-12-01 01:59:00,87188.8,0.1,-15.131999999999245,0.0,-15.131999999999245,10075.920000000007,
11,SHORT,2025-12-01 01:59:00,87188.8,2025-12-01 02:04:00,87295.99,0.1,-10.719000000000234,0.0,-10.719000000000234,10065.201000000006,
12,LONG,2025-12-01 02:04:00,87295.99,2025-12-01 02:17:00,87299.0,0.1,0.30099999999947613,0.0,0.30099999999947613,10065.502000000006,
13,SHORT,2025-12-01 02:17:00,87299.0,2025-12-01 02:35:00,87140.0,0.1,15.9,0.0,15.9,10081.402000000006,
14,LONG,2025-12-01 02:35:00,87140.0,2025-12-01 02:37:00,86985.96,0.1,-15.40399999999936,0.0,-15.40399999999936,10065.998000000007,
15,SHORT,2025-12-01 02:37:00,86985.96,2025-12-01 02:53:00,86645.96,0.1,34.0,0.0,34.0,10099.998000000007,
16,LONG,2025-12-01 02:53:00,86645.96,2025-12-01 03:00:00,86720.7,0.1,7.473999999999069,0.0,7.473999999999069,10107.472000000005,
17,SHORT,2025-12-01 03:00:00,86720.7,2025-12-01 03:04:00,86795.94,0.1,-7.524000000000524,0.0,-7.524000000000524,10099.948000000004,
18,LONG,2025-12-01 03:04:00,86795.94,2025-12-01 03:06:00,86605.32,0.1,-19.061999999999536,0.0,-19.061999999999536,10080.886000000004,
19,SHORT,2025-12-01 03:06:00,86605.32,2025-12-01 03:18:00,86524.01,0.1,8.131000000001222,0.0,8.131000000001222,10089.017000000005,
20,LONG,2025-12-01 03:18:00,86524.01,2025-12-01 03:28:00,86392.1,0.1,-13.190999999998894,0.0,-13.190999999998894,10075.826000000006,
21,SHORT,2025-12-01 03:28:00,86392.1,2025-12-01 03:41:00,86348.7,0.1,4.340000000000873,0.0,4.340000000000873,10080.166000000007,
22,LONG,2025-12-01 03:41:00,86348.7,2025-12-01 03:47:00,86356.14,0.1,0.7440000000002329,0.0,0.7440000000002329,10080.910000000007,
23,SHORT,2025-12-01 03:47:00,86356.14,2025-12-01 03:57:00,86390.24,0.1,-3.4100000000005823,0.0,-3.4100000000005823,10077.500000000007,
24,LONG,2025-12-01 03:57:00,86390.24,2025-12-01 04:00:00,86264.89,0.1,-12.535000000000583,0.0,-12.535000000000583,10064.965000000007,
25,SHORT,2025-12-01 04:00:00,86264.89,2025-12-01 04:07:00,86315.86,0.1,-5.097000000000117,0.0,-5.097000000000117,10059.868000000008,
26,LONG,2025-12-01 04:07:00,86315.86,2025-12-01 04:10:00,86184.0,0.1,-13.186000000000059,0.0,-13.186000000000059,10046.682000000008,
27,SHORT,2025-12-01 04:10:00,86184.0,2025-12-01 04:31:00,85796.2,0.1,38.78000000000029,0.0,38.78000000000029,10085.462000000009,
28,LONG,2025-12-01 04:31:00,85796.2,2025-12-01 04:44:00,85915.09,0.1,11.888999999999943,0.0,11.888999999999943,10097.351000000008,
29,SHORT,2025-12-01 04:44:00,85915.09,2025-12-01 05:01:00,85866.88,0.1,4.820999999999185,0.0,4.820999999999185,10102.172000000008,
30,LONG,2025-12-01 05:01:00,85866.88,2025-12-01 05:06:00,85775.16,0.1,-9.172000000000116,0.0,-9.172000000000116,10093.000000000007,
31,SHORT,2025-12-01 05:06:00,85775.16,2025-12-01 05:11:00,85891.12,0.1,-11.595999999999187,0.0,-11.595999999999187,10081.404000000008,
32,LONG,2025-12-01 05:11:00,85891.12,2025-12-01 05:18:00,85750.0,0.1,-14.111999999999535,0.0,-14.111999999999535,10067.292000000009,
33,SHORT,2025-12-01 05:18:00,85750.0,2025-12-01 05:23:00,85818.01,0.1,-6.800999999999476,0.0,-6.800999999999476,10060.491000000009,
34,LONG,2025-12-01 05:23:00,85818.01,2025-12-01 05:31:00,85882.56,0.1,6.455000000000291,0.0,6.455000000000291,10066.946000000009,
35,SHORT,2025-12-01 05:31:00,85882.56,2025-12-01 05:43:00,85793.31,0.1,8.925,0.0,8.925,10075.871000000008,
36,LONG,2025-12-01 05:43:00,85793.31,2025-12-01 06:17:00,86126.53,0.1,33.322000000000116,0.0,33.322000000000116,10109.193000000008,
37,SHORT,2025-12-01 06:17:00,86126.53,2025-12-01 06:33:00,86081.84,0.1,4.469000000000233,0.0,4.469000000000233,10113.66200000001,
