trade_id,direction,entry_time,entry_price,exit_time,exit_price,size,pnl,fee,net_pnl,capital_after,note
27,SHORT,2025-12-01 06:17:00,86122.37,2025-12-01 06:35:00,86103.16,0.1,1.9209999999991851,0.0,1.9209999999991851,10050.688999999997,
28,LONG,2025-12-01 06:35:00,86103.16,2025-12-01 06:50:00,86195.76,0.1,9.259999999999128,0.0,9.259999999999128,10059.948999999995,
29,SHORT,2025-12-01 06:50:00,86195.76,2025-12-01 06:55:00,86287.42,0.1,-9.16600000000035,0.0,-9.16600000000035,10050.782999999994,
30,LONG,2025-12-01 06:55:00,86287.42,2025-12-01 07:01:00,86191.86,0.1,-9.555999999999768,0.0,-9.555999999999768,10041.226999999993,
31,SHORT,2025-12-01 07:01:00,86191.86,2025-12-01 07:13:00,86181.3,0.1,1.0559999999997671,0.0,1.0559999999997671,10042.282999999994,
32,LONG,2025-12-01 07:13:00,86181.3,2025-12-01 07:22:00,86054.53,0.1,-12.677000000000408,0.0,-12.677000000000408,10029.605999999994,
33,SHORT,2025-12-01 07:22:00,86054.53,2025-12-01 07:25:00,86212.74,0.1,-15.821000000000641,0.0,-15.821000000000641,10013.784999999994,
34,LONG,2025-12-01 07:25:00,86212.74,2025-12-01 08:01:00,86500.01,0.1,28.726999999998952,0.0,28.726999999998952,10042.511999999993,
35,SHORT,2025-12-01 08:01:00,86500.01,2025-12-01 08:07:00,86634.02,0.1,-13.401000000000932,0.0,-13.401000000000932,10029.110999999992,
36,LONG,2025-12-01 08:07:00,86634.02,2025-12-01 08:24:00,86490.36,0.1,-14.36600000000035,0.0,-14.36600000000035,10014.744999999992,
37,SHORT,2025-12-01 08:24:00,86490.36,2025-12-01 08:29:00,86649.99,0.1,-15.963000000000466,0.0,-15.963000000000466,9998.781999999992,
38,LONG,2025-12-01 08:29:00,86649.99,2025-12-01 08:32:00,86528.58,0.1,-12.14100000000035,0.0,-12.14100000000035,9986.640999999992,
39,SHORT,2025-12-01 08:32:00,86528.58,2025-12-01 08:36:00,86699.79,0.1,-17.120999999999185,0.0,-17.120999999999185,9969.519999999993,
40,LONG,2025-12-01 08:36:00,86699.79,2025-12-01 09:09:00,86738.5,0.1,3.8710000000006404,0.0,3.8710000000006404,9973.390999999994,
41,SHORT,2025-12-01 09:09:00,86738.5,2025-12-01 09:21:00,86748.87,0.1,-1.0369999999995343,0.0,-1.0369999999995343,9972.353999999994,
42,LONG,2025-12-01 09:21:00,86748.87,2025-12-01 09:25:00,86662.42,0.1,-8.64499999999971,0.0,-8.64499999999971,9963.708999999993,
43,SHORT,2025-12-01 09:25:00,86662.42,2025-12-01 09:32:00,86649.97,0.1,1.244999999999709,0.0,1.244999999999709,9964.953999999992,
44,LONG,2025-12-01 09:32:00,86649.97,2025-12-01 09:48:00,86736.96,0.1,8.699000000000524,0.0,8.699000000000524,9973.652999999993,
45,SHORT,2025-12-01 09:48:00,86736.96,2025-12-01 10:00:00,86770.43,0.1,-3.3469999999986615,0.0,-3.3469999999986615,9970.305999999995,
46,LONG,2025-12-01 10:00:00,86770.43,2025-12-01 10:13:00,86726.32,0.1,-4.410999999998603,0.0,-4.410999999998603,9965.894999999997,
47,SHORT,2025-12-01 10:13:00,86726.32,2025-12-01 10:31:00,86654.13,0.1,7.219000000000233,0.0,7.219000000000233,9973.113999999998,
48,LONG,2025-12-01 10:31:00,86654.13,2025-12-01 10:52:00,86606.91,0.1,-4.722000000000117,0.0,-4.722000000000117,9968.391999999998,
49,SHORT,2025-12-01 10:52:00,86606.91,2025-12-01 11:01:00,86699.99,0.1,-9.308000000000176,0.0,-9.308000000000176,9959.083999999997,
50,LONG,2025-12-01 11:01:00,86699.99,2025-12-01 11:03:00,86624.5,0.1,-7.549000000000524,0.0,-7.549000000000524,9951.534999999996,
51,SHORT,2025-12-01 11:03:00,86624.5,2025-12-01 11:36:00,86464.83,0.1,15.966999999999826,0.0,15.966999999999826,9967.501999999997,
52,LONG,2025-12-01 11:36:00,86464.83,2025-12-01 11:41:00,86360.84,0.1,-10.399000000000525,0.0,-10.399000000000525,9957.102999999996,
53,SHORT,2025-12-01 11:41:00,86360.84,2025-12-01 12:23:00,86006.87,0.1,35.39700000000012,0.0,35.39700000000012,9992.499999999996,
54,LONG,2025-12-01 12:23:00,86006.87,2025-12-01 12:27:00,85850.85,0.1,-15.601999999998952,0.0,-15.601999999998952,9976.897999999997,
55,SHORT,2025-12-01 12:27:00,85850.85,2025-12-01 12:36:00,85869.9,0.1,-1.9049999999988358,0.0,-1.9049999999988358,9974.992999999999,
56,LONG,2025-12-01 12:36:00,85869.9,2025-12-01 12:40:00,85626.99,0.1,-24.290999999998895,0.0,-24.290999999998895,9950.702,
57,SHORT,2025-12-01 12:40:00,85626.99,2025-12-01 12:58:00,85506.07,0.1,12.091999999999826,0.0,12.091999999999826,9962.794,
58,LONG,2025-12-01 12:58:00,85506.07,2025-12-01 13:19:00,85944.99,0.1,43.891999999999825,0.0,43.891999999999825,10006.686,
59,SHORT,2025-12-01 13:19:00,85944.99,2025-12-01 13:51:00,85945.19,0.1,-0.019999999999708962,0.0,-0.019999999999708962,10006.666,
60,LONG,2025-12-01 13:51:00,85945.19,2025-12-01 14:16:00,86069.75,0.1,12.455999999999769,0.0,12.455999999999769,10019.122,
61,SHORT,2025-12-01 14:16:00,86069.75,2025-12-01 14:22:00,86176.64,0.1,-10.688999999999943,0.0,-10.688999999999943,10008.432999999999,
62,LONG,2025-12-01 14:22:00,86176.64,2025-12-01 14:31:00,85949.51,0.1,-22.713000000000466,0.0,-22.713000000000466,9985.72,
63,SHORT,2025-12-01 14:31:00,85949.51,2025-12-01 14:33:00,86337.85,0.1,-38.83400000000111,0.0,-38.83400000000111,9946.885999999999,
64,LONG,2025-12-01 14:33:00,86337.85,2025-12-01 14:40:00,86273.37,0.1,-6.4480000000010484,0.0,-6.4480000000010484,9940.437999999998,
65,SHORT,2025-12-01 14:40:00,86273.37,2025-12-01 14:55:00,86208.54,0.1,6.483000000000175,0.0,6.483000000000175,9946.920999999998,
66,LONG,2025-12-01 14:55:00,86208.54,2025-12-01 15:03:00,85881.18,0.1,-32.73600000000006,0.0,-32.73600000000006,9914.184999999998,
67,SHORT,2025-12-01 15:03:00,85881.18,2025-12-01 15:48:00,84364.0,0.1,151.7179999999993,0.0,151.7179999999993,10065.902999999997,
68,LONG,2025-12-01 15:48:00,84364.0,2025-12-01 16:03:00,84524.01,0.1,16.000999999999475,0.0,16.000999999999475,10081.903999999997,
69,SHORT,2025-12-01 16:03:00,84524.01,2025-12-01 16:12:00,84370.33,0.1,15.367999999999302,0.0,15.367999999999302,10097.271999999995,
70,LONG,2025-12-01 16:12:00,84370.33,2025-12-01 16:14:00,84141.12,0.1,-22.921000000000642,0.0,-22.921000000000642,10074.350999999995,
71,SHORT,2025-12-01 16:14:00,84141.12,2025-12-01 16:21:00,84336.68,0.1,-19.55599999999977,0.0,-19.55599999999977,10054.794999999995,
72,LONG,2025-12-01 16:21:00,84336.68,2025-12-01 16:44:00,85142.01,0.1,80.53300000000019,0.0,80.53300000000019,10135.327999999994,
73,SHORT,2025-12-01 16:44:00,85142.01,2025-12-01 17:00:00,84618.21,0.1,52.37999999999884,0.0,52.37999999999884,10187.707999999993,
74,LONG,2025-12-01 17:00:00,84618.21,2025-12-01 17:10:00,84676.11,0.1,5.789999999999418,0.0,5.789999999999418,10193.497999999992,
75,SHORT,2025-12-01 17:10:00,84676.11,2025-12-01 17:21:00,84817.17,0.1,-14.105999999999767,0.0,-14.105999999999767,10179.391999999993,
76,LONG,2025-12-01 17:21:00,84817.17,2025-12-01 17:31:00,84800.01,0.1,-1.7160000000003492,0.0,-1.7160000000003492,10177.675999999992,
77,SHORT,2025-12-01 17:31:00,84800.01,2025-12-01 17:36:00,84893.69,0.1,-9.368000000000757,0.0,-9.368000000000757,10168.307999999992,
78,LONG,2025-12-01 17:36:00,84893.69,2025-12-01 17:50:00,85085.0,0.1,19.13099999999977,0.0,19.13099999999977,10187.438999999991,
79,SHORT,2025-12-01 17:50:00,85085.0,2025-12-01 18:01:00,85135.85,0.1,-5.085000000000583,0.0,-5.085000000000583,10182.35399999999,
80,LONG,2025-12-01 18:01:00,85135.85,2025-12-01 18:21:00,85312.51,0.1,17.665999999998895,0.0,17.665999999998895,10200.01999999999,
81,SHORT,2025-12-01 18:21:00,85312.51,2025-12-01 18:47:00,84921.75,0.1,39.07599999999948,0.0,39.07599999999948,10239.095999999989,
