time,equity,position
2025-12-01 00:00:00,10149.295,-1
2025-12-01 01:00:00,10059.625999999998,1
2025-12-01 02:00:00,10041.725999999997,1
2025-12-01 03:00:00,10012.323999999999,1
2025-12-01 04:00:00,10037.323999999999,-1
2025-12-01 05:00:00,10013.762999999999,1
2025-12-01 06:00:00,10035.212999999998,1
2025-12-01 07:00:00,10034.278999999993,1
2025-12-01 08:00:00,9977.051999999992,1
2025-12-01 09:00:00,9979.43899999999,-1
2025-12-01 10:00:00,9962.473999999986,1
2025-12-01 11:00:00,9965.967999999986,-1
2025-12-01 12:00:00,9972.766999999989,1
2025-12-01 13:00:00,10004.795999999991,1
2025-12-01 14:00:00,9871.43099999999,1
2025-12-01 15:00:00,10060.789999999992,-1
2025-12-01 16:00:00,10143.764999999989,-1
2025-12-01 17:00:00,10172.318999999985,-1
2025-12-01 18:00:00,10212.742999999984,1
2025-12-01 19:00:00,10138.786999999984,1
2025-12-01 20:00:00,10165.24499999998,1
2025-12-01 21:00:00,10201.913999999979,1
2025-12-01 22:00:00,10244.67199999998,-1
2025-12-01 23:00:00,10265.17799999998,-1
2025-12-02 00:00:00,10227.865999999978,-1
2025-12-02 01:00:00,10254.893999999977,-1
2025-12-02 02:00:00,10237.259999999973,-1
2025-12-02 03:00:00,10290.571999999976,1
2025-12-02 04:00:00,10258.554999999971,-1
2025-12-02 05:00:00,10255.774999999969,-1
2025-12-02 06:00:00,10280.650999999969,-1
2025-12-02 07:00:00,10270.037999999971,-1
2025-12-02 08:00:00,10312.055999999971,-1
2025-12-02 09:00:00,10327.771999999974,-1
2025-12-02 10:00:00,10384.310999999976,-1
2025-12-02 11:00:00,10410.658999999978,-1
2025-12-02 12:00:00,10360.22099999998,-1
2025-12-02 13:00:00,10403.889999999983,1
2025-12-02 14:00:00,10331.473999999978,1
2025-12-02 15:00:00,10529.88599999998,-1
2025-12-02 16:00:00,10551.099999999979,-1
2025-12-02 17:00:00,10496.448999999984,-1
2025-12-02 18:00:00,10433.44599999998,-1
2025-12-02 19:00:00,10441.415999999983,-1
2025-12-02 20:00:00,10428.393999999984,1
2025-12-02 21:00:00,10423.693999999989,1
2025-12-02 22:00:00,10369.831999999986,1
2025-12-02 23:00:00,10421.594999999987,-1
2025-12-03 00:00:00,10467.870999999988,-1
2025-12-03 01:00:00,10390.069999999987,-1
2025-12-03 02:00:00,10336.672999999984,1
2025-12-03 03:00:00,10321.781999999985,-1
2025-12-03 04:00:00,10289.373999999985,1
2025-12-03 05:00:00,10272.332999999986,-1
2025-12-03 06:00:00,10275.686999999989,1
2025-12-03 07:00:00,10234.103999999988,-1
2025-12-03 08:00:00,10162.415999999987,-1
2025-12-03 09:00:00,10168.10099999999,1
2025-12-03 10:00:00,10174.88499999999,-1
2025-12-03 11:00:00,10141.448999999979,1
2025-12-03 12:00:00,10072.413999999975,1
2025-12-03 13:00:00,10037.706999999975,-1
2025-12-03 14:00:00,10169.624999999976,-1
2025-12-03 15:00:00,10077.926999999974,-1
2025-12-03 16:00:00,10143.582999999975,-1
2025-12-03 17:00:00,10071.512999999975,1
2025-12-03 18:00:00,10084.254999999974,-1
2025-12-03 19:00:00,10052.331999999973,-1
2025-12-03 20:00:00,9969.537999999975,-1
2025-12-03 21:00:00,10008.594999999974,1
2025-12-03 22:00:00,9969.141999999976,-1
2025-12-03 23:00:00,9953.03399999997,-1
2025-12-04 00:00:00,9953.338999999973,1
2025-12-04 01:00:00,10016.015999999972,-1
2025-12-04 02:00:00,10059.260999999975,1
2025-12-04 03:00:00,10073.026999999973,-1
2025-12-04 04:00:00,10052.364999999967,1
2025-12-04 05:00:00,10057.67599999997,1
2025-12-04 06:00:00,10060.284999999974,1
2025-12-04 07:00:00,10052.19399999997,1
