time,equity,position
2025-12-10 16:00:00,14082.069000000045,-1
2025-12-10 17:00:00,14081.045000000046,-1
2025-12-10 18:00:00,14147.74200000005,-1
2025-12-10 19:00:00,14018.537000000042,1
2025-12-10 20:00:00,14157.39500000005,-1
2025-12-10 21:00:00,14231.220000000047,-1
2025-12-10 22:00:00,14242.038000000046,1
2025-12-10 23:00:00,14258.887000000044,-1
2025-12-11 00:00:00,14279.339000000044,1
2025-12-11 01:00:00,14343.084000000044,-1
2025-12-11 02:00:00,14336.034000000045,-1
2025-12-11 03:00:00,14355.645000000048,1
2025-12-11 04:00:00,14330.895000000046,1
2025-12-11 05:00:00,14341.564000000046,1
2025-12-11 06:00:00,14391.12500000005,1
2025-12-11 07:00:00,14339.719000000045,-1
2025-12-11 08:00:00,14339.627000000044,1
2025-12-11 09:00:00,14351.203000000043,-1
2025-12-11 10:00:00,14354.313000000044,1
2025-12-11 11:00:00,14330.833000000044,1
2025-12-11 12:00:00,14338.045000000042,-1
2025-12-11 13:00:00,14316.069000000038,1
2025-12-11 14:00:00,14385.992000000038,1
2025-12-11 15:00:00,14435.289000000039,1
2025-12-11 16:00:00,14512.08700000004,-1
2025-12-11 17:00:00,14482.327000000041,-1
2025-12-11 18:00:00,14580.022000000043,-1
2025-12-11 19:00:00,14655.085000000043,-1
2025-12-11 20:00:00,14731.391000000041,1
2025-12-11 21:00:00,14810.89100000004,-1
2025-12-11 22:00:00,14835.36800000004,1
2025-12-11 23:00:00,14806.30600000004,-1
2025-12-12 00:00:00,14802.68600000004,-1
