time,equity,position
2025-12-04 05:00:00,10343.449999999972,1
2025-12-04 06:00:00,10346.058999999976,1
2025-12-04 07:00:00,10324.495999999974,1
2025-12-04 08:00:00,10343.169999999973,-1
2025-12-04 09:00:00,10367.100999999973,1
2025-12-04 10:00:00,10382.558999999974,1
2025-12-04 11:00:00,10412.071999999975,1
2025-12-04 12:00:00,10423.496999999976,-1
2025-12-04 13:00:00,10401.758999999975,-1
2025-12-04 14:00:00,10447.197999999973,-1
2025-12-04 15:00:00,10419.849999999975,1
2025-12-04 16:00:00,10458.504999999976,-1
2025-12-04 17:00:00,10361.294999999976,1
2025-12-04 18:00:00,10309.256999999976,-1
2025-12-04 19:00:00,10428.046999999977,1
2025-12-04 20:00:00,10457.565999999977,1
2025-12-04 21:00:00,10430.561999999978,-1
2025-12-04 22:00:00,10392.204999999974,1
2025-12-04 23:00:00,10352.898999999978,-1
2025-12-05 00:00:00,10338.786999999978,-1
2025-12-05 01:00:00,10289.23399999998,-1
2025-12-05 02:00:00,10288.41699999998,-1
2025-12-05 03:00:00,10301.86799999998,-1
2025-12-05 04:00:00,10311.512999999979,1
2025-12-05 05:00:00,10338.631999999978,-1
2025-12-05 06:00:00,10349.662999999977,1
2025-12-05 07:00:00,10351.417999999976,-1
2025-12-05 08:00:00,10357.000999999973,1
2025-12-05 09:00:00,10438.490999999973,1
2025-12-05 10:00:00,10442.073999999975,-1
2025-12-05 11:00:00,10420.613999999976,1
2025-12-05 12:00:00,10355.53099999997,1
2025-12-05 13:00:00,10293.048999999974,-1
2025-12-05 14:00:00,10169.813999999978,1
2025-12-05 15:00:00,10236.165999999976,-1
2025-12-05 16:00:00,10440.373999999976,1
2025-12-05 17:00:00,10420.105999999974,1
2025-12-05 18:00:00,10397.756999999972,-1
2025-12-05 19:00:00,10418.544999999973,1
2025-12-05 20:00:00,10437.307999999972,1
2025-12-05 21:00:00,10403.194999999969,1
2025-12-05 22:00:00,10323.597999999965,-1
2025-12-05 23:00:00,10308.356999999962,1
2025-12-06 00:00:00,10308.947999999962,1
2025-12-06 01:00:00,10284.00599999996,-1
2025-12-06 02:00:00,10250.804999999955,1
2025-12-06 03:00:00,10283.087999999952,-1
2025-12-06 04:00:00,10250.417999999949,1
2025-12-06 05:00:00,10260.78699999995,1
2025-12-06 06:00:00,10263.35599999995,1
2025-12-06 07:00:00,10247.51999999995,1
2025-12-06 08:00:00,10229.588999999945,-1
2025-12-06 09:00:00,10226.510999999946,-1
2025-12-06 10:00:00,10200.944999999942,1
2025-12-06 11:00:00,10193.862999999941,-1
2025-12-06 12:00:00,10175.385999999946,1
2025-12-06 13:00:00,10183.72399999995,-1
2025-12-06 14:00:00,10158.822999999951,-1
2025-12-06 15:00:00,10183.40599999995,1
2025-12-06 16:00:00,10174.204999999954,-1
2025-12-06 17:00:00,10163.65199999996,1
2025-12-06 18:00:00,10138.549999999963,1
2025-12-06 19:00:00,10042.364999999963,-1
2025-12-06 20:00:00,10034.448999999964,1
2025-12-06 21:00:00,10026.214999999964,-1
2025-12-06 22:00:00,10005.642999999964,-1
2025-12-06 23:00:00,9996.06199999996,1
2025-12-07 00:00:00,10028.649999999961,-1
2025-12-07 01:00:00,10016.426999999961,-1
2025-12-07 02:00:00,10024.17499999996,1
2025-12-07 03:00:00,9999.463999999958,-1
2025-12-07 04:00:00,10013.58199999996,-1
2025-12-07 05:00:00,9989.693999999956,1
2025-12-07 06:00:00,10005.083999999957,1
2025-12-07 07:00:00,10012.170999999953,1
2025-12-07 08:00:00,10036.425999999954,-1
2025-12-07 09:00:00,10042.991999999951,1
2025-12-07 10:00:00,10051.362999999956,-1
2025-12-07 11:00:00,10038.264999999956,1
2025-12-07 12:00:00,10048.482999999955,-1
2025-12-07 13:00:00,10046.494999999955,1
2025-12-07 14:00:00,10073.913999999953,1
2025-12-07 15:00:00,10184.496999999956,1
2025-12-07 16:00:00,10115.232999999951,1
2025-12-07 17:00:00,10130.197999999951,-1
2025-12-07 18:00:00,10148.260999999951,-1
2025-12-07 19:00:00,10069.82099999995,-1
2025-12-07 20:00:00,10033.448999999951,1
2025-12-07 21:00:00,10142.738999999954,1
2025-12-07 22:00:00,10203.631999999952,-1
2025-12-07 23:00:00,10257.491999999951,1
2025-12-08 00:00:00,10238.280999999957,1
2025-12-08 01:00:00,10318.036999999957,-1
2025-12-08 02:00:00,10273.948999999959,1
2025-12-08 03:00:00,10279.863999999956,1
2025-12-08 04:00:00,10259.499999999958,1
2025-12-08 05:00:00,10248.489999999954,-1
2025-12-08 06:00:00,10219.59499999996,-1
2025-12-08 07:00:00,10197.384999999962,-1
2025-12-08 08:00:00,10163.294999999956,1
2025-12-08 09:00:00,10141.126999999955,-1
