time,equity,position
2025-12-04 08:00:00,10085.119999999968,1
2025-12-04 09:00:00,10118.076999999965,-1
2025-12-04 10:00:00,10095.746999999968,1
2025-12-04 11:00:00,10121.301999999967,1
2025-12-04 12:00:00,10152.440999999968,-1
2025-12-04 13:00:00,10106.832999999962,-1
2025-12-04 14:00:00,10152.27199999996,-1
2025-12-04 15:00:00,10178.32399999996,1
2025-12-04 16:00:00,10130.658999999961,-1
2025-12-04 17:00:00,10103.272999999963,1
2025-12-04 18:00:00,10095.33299999996,-1
2025-12-04 19:00:00,10217.96899999996,-1
2025-12-04 20:00:00,10172.159999999965,1
2025-12-04 21:00:00,10139.727999999965,-1
2025-12-04 22:00:00,10134.784999999967,-1
2025-12-04 23:00:00,10108.79099999997,-1
2025-12-05 00:00:00,10088.74699999997,-1
2025-12-05 01:00:00,10059.329999999976,-1
2025-12-05 02:00:00,10070.732999999975,-1
2025-12-05 03:00:00,10096.935999999978,-1
2025-12-05 04:00:00,10106.580999999976,1
2025-12-05 05:00:00,10119.623999999974,-1
2025-12-05 06:00:00,10149.174999999974,1
2025-12-05 07:00:00,10165.649999999974,-1
2025-12-05 08:00:00,10171.232999999971,1
2025-12-05 09:00:00,10191.628999999974,1
2025-12-05 10:00:00,10182.197999999973,-1
2025-12-05 11:00:00,10175.409999999978,1
2025-12-05 12:00:00,10137.068999999972,1
2025-12-05 13:00:00,10061.416999999978,-1
2025-12-05 14:00:00,9953.627999999982,1
2025-12-05 15:00:00,10009.42999999998,-1
2025-12-05 16:00:00,10162.89999999998,1
2025-12-05 17:00:00,10122.641999999978,1
2025-12-05 18:00:00,10126.700999999977,-1
2025-12-05 19:00:00,10109.186999999974,1
2025-12-05 20:00:00,10146.193999999974,1
2025-12-05 21:00:00,10128.700999999974,1
2025-12-05 22:00:00,10074.99599999997,-1
2025-12-05 23:00:00,10071.048999999968,1
2025-12-06 00:00:00,10077.505999999967,1
2025-12-06 01:00:00,10052.563999999964,-1
2025-12-06 02:00:00,10030.24899999996,1
2025-12-06 03:00:00,10062.531999999957,-1
2025-12-06 04:00:00,10011.371999999958,1
2025-12-06 05:00:00,10011.94499999996,1
2025-12-06 06:00:00,9999.579999999962,1
2025-12-06 07:00:00,9975.579999999958,1
2025-12-06 08:00:00,9948.114999999958,-1
2025-12-06 09:00:00,9949.818999999958,-1
2025-12-06 10:00:00,9924.252999999953,1
2025-12-06 11:00:00,9902.712999999949,-1
2025-12-06 12:00:00,9885.853999999954,1
2025-12-06 13:00:00,9881.583999999953,-1
2025-12-06 14:00:00,9856.682999999955,-1
2025-12-06 15:00:00,9874.147999999956,1
2025-12-06 16:00:00,9860.026999999958,-1
2025-12-06 17:00:00,9845.407999999963,1
2025-12-06 18:00:00,9829.843999999966,1
2025-12-06 19:00:00,9742.052999999967,-1
2025-12-06 20:00:00,9728.19699999997,1
2025-12-06 21:00:00,9726.600999999968,-1
2025-12-06 22:00:00,9704.230999999969,-1
2025-12-06 23:00:00,9700.19799999997,1
2025-12-07 00:00:00,9716.84399999997,1
2025-12-07 01:00:00,9704.620999999972,-1
2025-12-07 02:00:00,9712.36899999997,1
2025-12-07 03:00:00,9697.749999999967,-1
2025-12-07 04:00:00,9720.05199999997,-1
2025-12-07 05:00:00,9691.847999999967,1
2025-12-07 06:00:00,9699.617999999966,1
2025-12-07 07:00:00,9706.704999999962,1
2025-12-07 08:00:00,9730.959999999963,-1
2025-12-07 09:00:00,9744.873999999962,1
2025-12-07 10:00:00,9759.578999999967,-1
2025-12-07 11:00:00,9744.198999999966,1
2025-12-07 12:00:00,9771.020999999966,-1
2025-12-07 13:00:00,9788.63099999997,1
2025-12-07 14:00:00,9840.877999999972,1
2025-12-07 15:00:00,9938.948999999975,1
2025-12-07 16:00:00,9891.992999999971,1
2025-12-07 17:00:00,9906.957999999971,-1
2025-12-07 18:00:00,9925.19299999997,-1
2025-12-07 19:00:00,9883.868999999971,-1
2025-12-07 20:00:00,9868.22099999997,1
2025-12-07 21:00:00,9961.348999999975,1
2025-12-07 22:00:00,10035.029999999975,-1
2025-12-07 23:00:00,10092.321999999976,1
2025-12-08 00:00:00,10096.48899999998,1
2025-12-08 01:00:00,10176.244999999979,-1
2025-12-08 02:00:00,10095.768999999977,1
2025-12-08 03:00:00,10115.693999999972,1
2025-12-08 04:00:00,10120.761999999979,1
2025-12-08 05:00:00,10118.687999999978,-1
2025-12-08 06:00:00,10100.640999999985,-1
2025-12-08 07:00:00,10078.430999999988,-1
2025-12-08 08:00:00,10071.306999999983,1
2025-12-08 09:00:00,10086.636999999984,-1
2025-12-08 10:00:00,10072.720999999985,-1
2025-12-08 11:00:00,10054.733999999986,1
2025-12-08 12:00:00,10035.678999999986,-1
2025-12-08 13:00:00,9999.804999999988,-1
2025-12-08 14:00:00,9983.028999999986,-1
2025-12-08 15:00:00,9926.749999999985,1
2025-12-08 16:00:00,9936.114999999982,1
2025-12-08 17:00:00,9949.316999999977,1
2025-12-08 18:00:00,9989.844999999978,-1
2025-12-08 19:00:00,9946.488999999972,-1
2025-12-08 20:00:00,9939.424999999976,-1
2025-12-08 21:00:00,9986.607999999973,1
2025-12-08 22:00:00,9971.45299999997,-1
2025-12-08 23:00:00,9997.57899999997,1
2025-12-09 00:00:00,10029.059999999969,-1
2025-12-09 01:00:00,10056.944999999974,1
2025-12-09 02:00:00,9986.462999999972,-1
2025-12-09 03:00:00,9979.765999999972,1
2025-12-09 04:00:00,9968.495999999974,1
2025-12-09 05:00:00,9900.377999999975,-1
2025-12-09 06:00:00,9914.85299999998,1
2025-12-09 07:00:00,9903.926999999978,1
2025-12-09 08:00:00,9884.02499999998,-1
2025-12-09 09:00:00,9897.435999999976,-1
2025-12-09 10:00:00,9830.19599999997,1
2025-12-09 11:00:00,9807.355999999972,1
2025-12-09 12:00:00,9788.25099999997,-1
2025-12-09 13:00:00,9824.80599999997,1
2025-12-09 14:00:00,9790.981999999969,1
2025-12-09 15:00:00,9924.729999999967,1
2025-12-09 16:00:00,9989.35999999997,-1
2025-12-09 17:00:00,9987.425999999967,-1
2025-12-09 18:00:00,9961.566999999963,1
2025-12-09 19:00:00,9958.311999999965,-1
2025-12-09 20:00:00,10002.994999999966,-1
2025-12-09 21:00:00,9973.376999999968,1
2025-12-09 22:00:00,9998.972999999969,1
2025-12-09 23:00:00,9973.766999999963,-1
2025-12-10 00:00:00,9893.34399999996,-1
2025-12-10 01:00:00,9870.52699999996,1
2025-12-10 02:00:00,9918.992999999964,1
2025-12-10 03:00:00,9890.452999999965,-1
2025-12-10 04:00:00,9891.036999999966,1
2025-12-10 05:00:00,9892.972999999965,1
2025-12-10 06:00:00,9894.642999999964,1
2025-12-10 07:00:00,9860.095999999965,1
2025-12-10 08:00:00,9833.304999999962,-1
2025-12-10 09:00:00,9864.751999999962,1
2025-12-10 10:00:00,9927.262999999966,1
2025-12-10 11:00:00,9928.837999999965,1
2025-12-10 12:00:00,9871.302999999962,1
2025-12-10 13:00:00,9842.662999999955,1
2025-12-10 14:00:00,9776.13299999995,-1
2025-12-10 15:00:00,9675.273999999949,1
2025-12-10 16:00:00,9625.657999999949,-1
2025-12-10 17:00:00,9613.095999999949,-1
2025-12-10 18:00:00,9615.70299999995,-1
2025-12-10 19:00:00,9493.329999999949,1
2025-12-10 20:00:00,9482.903999999948,-1
2025-12-10 21:00:00,9467.75099999995,-1
2025-12-10 22:00:00,9423.320999999949,1
2025-12-10 23:00:00,9428.873999999947,-1
2025-12-11 00:00:00,9433.961999999947,1
2025-12-11 01:00:00,9508.30299999995,-1
2025-12-11 02:00:00,9467.05299999995,-1
2025-12-11 03:00:00,9488.967999999952,1
2025-12-11 04:00:00,9429.803999999951,1
2025-12-11 05:00:00,9421.536999999951,1
2025-12-11 06:00:00,9441.519999999951,1
